mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial
3962;C.DPI&863&S161n;Narrativa Completa de Salarré;Salazar Arrué, Salvador;1999;Dirección de Publicaciones e Impresos
3963;C.DPI&325.3&E74t;Los Tlaxcaltecas en Centro América;Escalante Arce, Pedro Antonio;2001;Dirección de Publicaciones e Impresos
3964;C.DPI&411&P438e;Escribamos Bien;Pérez Mejía, Ladislao;1999;Dirección de Publicaciones e Impresos
3965;C.DPI&972.84&B234m;Monografías departamentales;Barbera, Santiago I;1998;Dirección de Publicaciones e Impresos
3966;C.DPI&923.2&D352m;José Matías Deldago, Prócer Centroamericano;Meléndez Chaverri, Carlos;2000;Dirección de Publicaciones e Impresos
3967;972.84&M361a;Apreciación Sociológica de la Independencia Salvadoreña;Marroquin, Alejandro Dagoberto;2000;Dirección de Publicaciones e Impresos
3968;C.DPI&861&H766l;La Odisea;Homero;2000;Dirección de Publicaciones e Impresos
3969;C.DPI&862&H766l;La Iliada;Homero;2000;Dirección de Publicaciones e Impresos
3970;C.DPI&840.4&C997o;El Otro Mundo: Historia Cómica de los Estados e Imperios del Sol;Cyrano de Bergerac, Siviniano;1998;Dirección de Publicaciones e Impresos
3971;C.DPI&808.81&A316p;Piedras en el Hucacán;Alas, Javier;1993;Dirección de Publicaciones e Impresos
3972;C.DPI&972.84&B885e;El Salvador, la tierra y el hombre;Browning, David;1998;Dirección de Publicaciones e Impresos
3973;C.DPI&861&G934p;Poesía Reunida;Gerra Trigueros, Alberto;1998;Dirección de Publicaciones e Impresos
3974;C.DPI&972.84&B265r;Reseña Histórica de la Villa de San Salvador;Barón Castro, Rodolfo;1996;Dirección de Publicaciones e Impresos
3974;C.DPI&972.84&B265r;Reseña Histórica de la Villa de San Salvador;Barón Castro, Rodolfo;1996;Dirección de Publicaciones e Impresos
3974;C.DPI&972.84&B265r;Reseña Histórica de la Villa de San Salvador;Barón Castro, Rodolfo;1996;Dirección de Publicaciones e Impresos
3975;C.DPI&972.843 32&A479h;Historia de Cacaopera;Amaya Amaya, Miguel Angel;1985;Dirección de Publicaciones e Impresos
3976;C.DPI&861&K46c;Es Cara Musa;Kijadurias, Alfonso;1998;Dirección de Publicaciones e Impresos
3977;C.DPI&808.81&L742l;Los Infiernos Esplendidos;Lindo, Roger;1998;Dirección de Publicaciones e Impresos
3978;C.DPI&808.81&A366u;Umbrales;Alegría, Claribel;1997;Dirección de Publicaciones de Impresos
3979;C.DPI&808.81&E74s;Solamente Una Vez;Escobar, Francisco Andrés;1997;Dirección de Publicaciones e Impresos
3980;C.DPI&863&M542t;Tres Novelas;Menen Desleal, Alvaro;2001;Dirección de Publicaciones e Impresos
3981;C.DPI&861&A325f;Fuego Brujo;Alba, María de;1978;Dirección de Publicaciones e Impresos
3982;C.DPI&863.3&C429c;El Coloqui de los Perros y otras Novelas Ejemplares;Cervantes Saavedra, Miguel de;1998;Dirección de Publicaciones e Impresos
3983;C.DPI&863&M534l;Los Héroes Tienen Sueño;Menjivar Ochoa, Rafael;1998;Dirección de Publicaciones e Impresos
3984;C.DPI&860&A495e;El Libro dle Trópico;Ambrogi, Arturo;2000;Dirección de Publicaciones e Impresos
3985;C.DPI&861&D136l;La ventana en el rostro;Daltón, Roque;1996;Dirección de Publicaciones e Impresos
3986;C.DPI&808.831&L742a;Aquí se Cuentan Cuentos;Lindo, Hugo;1996;Dirección de Publicaciones e Impresos
3987;C.DPI&861&G343l;Los Nietos del Jaguar;Geoffroy Rivas, Pedro;1996;Dirección de Publicaciones e Impresos
3988;C.DPI&863.44&E77m;Mitología de Cuscatlán/Como cantan Allá;Espino, Miguel Angel;1996;Dirección de Publicaciones e Impresos
3989;C.DPI&861&S159o;O-Yarkandal;Salazar Arrué, Salvador;1996;Dirección de Publicaciones e Impresos
3990;C.DPI&868.992 2&L318l;La Casa de Vidrio;Lars, Claudia;1996;Dirección de Publicaciones e Impresos
3991;C.DPI&860.1&A495c;Crónicas;Ambrogi, Arturo;1996;Dirección de Publicaciones e Impresos
3992;C.DPI&864.4&M394e;Ensayos;Masferrer, Alberto;1996;Dirección de Publicaciones e Impresos
3993;C.DPI&808.831&G283c;Cuentos y Narraciones;Gavidia, Francisco;1996;Dirección de Publicaciones e Impresos
3994;C.DPI&398.24&S579f;Fábulas;Siguenza, León;1998;Dirección de Publicaciones e Impresos
3996;C.DPI&863&M542i;La Ilustre Familia Androide;Menen Desleal, Alvaro;1997;Dirección de Publicaciones e Impresos
3997;C.DPI&863&A366c;Cenizas de Izalco;Alegria, Claribel;1997;Dirección de Publicaciones e Impresos
3998;C.DPI&868.992 2&E74t;Tierra Azul donde el Venado Cruza;Escobar Velado, Oswaldo;1997;Dirección de Publicaciones e Impresos
3999;C.DPI&861&R788e;El Bosque de Apolo y Otros Poemas;Rosales y Rosales, Vicente;1997;Dirección de Publicaciones e Impresos
4000;C.DPI&863&M537l;Las Mormonas y Otros Cuentos;Méndez, José María;1997;Dirección de Publicaciones e Impresos
4001;C.DPI&861&Q6c;Corasón con S;Quiteño, Serafín;1997;Dirección de Publicaciones e Impresos
4002;C.DPI&861.44&C846c;Cantos de la Tierra Promedida;Cotto, Juan;1997;Dirección de Publicaciones e Impresos
4003;C.DPI&863&R616a;Andanzas y Malandanzas;Rivas Bonilla, Alberto;1997;Dirección de Publicaciones e Impresos
4004;C.DPI&860.9&P426l;La Muerte de la Tortola;Peralta Lagos, José María;1997;Dirección de Publicaciones e Impresos
4005;C.DPI&863.44&L747a;Arca de los Olvidos;Lindo, Ricardo;1998;Dirección de Publicaciones e Impresos
4006;C.DPI&861.44&E74p;Pasión del Tiempo;Escobar Galindo, David;1998;Dirección de Publicaciones e Impresos
4008;C.DPI&863.44&C387t;Todo el Códice;Cea, José Roberto;1998;Dirección de Publicaciones e Impresos
4009;C,DPI&863.44&A694u;Un Día en la Vida;Argueta, Manlio;1998;Dirección de Publicaciones e Impresos
4010;C.DPI&861.4&P864c;Ciego Afán;López Vallecillos, Italo;1998;Dirección de Publicaciones e Impresos
4011;C.DPI&864.44&L864e;Ensayos Literarios;López, Matilde Elena;1998;Dirección de Publicaciones e Impresos
4012;C.DPI&864.4&G934p;Poesía Versus Arte;Guerra Trigueros, Alberto;1998;Dirección de Publicaciones e Impresos
4013;C.DPI&861.44&C764v;Versos de Ayer;Contreras, Raúl;1998;Dirección de Publicaciones e Impresos
4014;C.DPI&862&M542l;Luz Negra;Menen Desleal, Alvaro;1997;Dirección de Publicaciones e Impresos
4015;C.DPI&823&M531c;Cuentos de la Veranda;Melville, Hernan;1999;Dirección de Publicaciones e Impresos
4016;C.DPI&863&S957m;Memorias de Oppéde;Súsnsin, Consuelo;1998;Dirección de Publicaciones e Impresos
4017;C.DPI&808.887&S713e;El Escrito de la Defensa y Otros Folios;Sorto Cambell, José Enríque;1996;Dirección de Publicación e Impresos
4018;C.DPI&809.916&B228e;El Terremoto de San Salvador;Barba Jacob, Porfirio;1999;Dirección de Publicaciones e Impresos
4019;C.DPI&972.728 412 5&C436;Chalchuapa;;1985;Dirección de Publicaciones e Impresos
4020;C.DPI&460&R616l;La Lengua Salvadoreña El Español que Hablamos en El Salvador;Rivas, Pedro Geoffroy;1999;Dirección de Publicaciones e Impresos
4021;C.DPI&907&M779e;Etnohistoria de El Salvador;Montes Mozo, Santiago;1977;Dirección  de Publicaciones e Impresos
4022;C.DPI&861&CH538e;El Libro de las Respuestas;Chinchilla, Miguel Angel;1996;Dirección de Publicaciones e Impresos
4024;C.DPI&808.83&L742j;Justicia Señor Gobernador;Lindo, Hugo;1999;Dirección de Publicaciones e Impresos
4025;C.DPI&809&G166t;Tiro Al Blanco;Gallegos Valdés, Luis;1978;Dirección de Publicaciones e Impresos
4026;C.DPI&863&M542l;La Bicicleta al Pie de la Muralla;Menen Desleal, Alvaro;2000;Dirección de Publicaciones e Impresos
4027;C.DPI&862&V437s;San Salvador Después del Eclipse;Velis, Carlos;1999;Dirección de Publicaciones e Impresos
4028;C.DPI&808.82&S527s;Sueño de Noche de Verano;Shakespeare, William;2000;Dirección de Publicaciones e Impresos
4029;C.DPI&862&Ch512e;El Sombrero de Otoño;Chávez Velásco, Waldo;1997;Dirección de Publicaciones e Impresos
4030;C.DPI&861&E77t;Tren;Espino, Alfredo Ernesto;1993;Dirección de Publicaciones e Impresos
4031;C.DPI&808.83&M394v;Una Vida en el Cine;Masferrer, Alberto;1999;Dirección de Publicaciones e Impresos
4033;C.DPI&801.953&G283;Francisco Gavidia Antología de su Narrativa;;1986;Dirección de Publicaciones e Impresos
4034;C.DPI&809.8&C212d;Diccionario Escolar de Autores Salvadoreños;Cañas Dinarte, Carlos;2000;Dirección de Publicaciones e Impresos
