mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
4258;COL.NB&620.105&S735s;Soil Engineering;Spangler, M. G.;1966;Internal Textbook Company;
4259;COL.NB&620.106&B389h;Hidromecánica;Becerril, Enrique;1960;Dossat;
4261;COL.NB&620.107 3&D431e;Elements of Engineering Statics;Deresiewicz, H.;1958;Columbia University press;
4262;COL.NB&620.107 3&Ch474P;Energy Principles in Applied Statics;Charlton, T. M.;1959;;
4263;COLNB&620.11&T776s;Statics and stregth of  materials;Trathen, Roland H.;1961;;
4264;COL.NB&620.105 3&Z11m;Laa méthode de Hardy Cross et Ses Sinplifications;Zaytzeff, S.;1951;;
4265;COL.NB&602.112&Ch452f;Failure and Repair of Concrete Structure;Champión, S.;1961;;
4268;COL.NB&387.72&M526r;Entretien Des Routes en Terre en Zone Tropicale;Millier, Gerard;1964;Editions Eyrolles;
4269;COL.NB&387.736&P673;Roads and Airfields I Programed Instruction;S/A;1974;Correspondence Cource Program;
4270;COL.NB&388.041&M464;Maximun Desirable Dimensions and Weights of Vehicles Operated on the Federal-Aid Systems;U.S. Departament of Commerce;1964;s.n;
4272;COL.NB&388.132&E77;Standard Specifications for Highway Bridges;S/A;1961;Published the Association;
4273;COL.NB&388.13&P766;A Policy on Geometric Design of Rural Highways;Shadburn, M. L.;1966;Published by the Association;
4274;COL.NB&388.322 1&P972r;Courd de Routes & Pisted Danles Pay Neufs;Prunet, J.;1948;Edition Eyrolles;
4278;COL.NB&510&S182s;Mathematical solution of engineering problems;Salvadori G. Mario;1953;Columbia University Press;
4279;COL.NB&512.25&A425m;Relaxation Methods;Allen, G.;1954;McGraw-Hill;
4280;COL.NB&512.25&S313m;An Introduction to Relaxation Methods;Shaw, F.S.;1953;Dover publications;
4282;COL.NB&515&C891e;Engineering Analysis a Survey of Numerical Procedures;Grandell H., Stephen;1956;McGraw-Hill;
4283;COL.NB&515&M732;La pratique du calcul des systémes continus;Mombach, Marcel;1957;Editions Desoer;
4284;COL.NB&515.252&C853;Resolution Numérique Des Systémes D'Equations Linéaires;Couffignal, Louis;1956;Editions Eyrolles;
4285;COL.NB&515.252&L473e;Linear Equations;Cohn, P. M.;1958;Routledge and Kegan Paul;
4286;COL.NB&516.24&S785;Standard Field Tables and Trigonometric Formulas;S/A;1956;s.n;
4287;COL.NB&516.15&S775f;Fondamenti Della Teoria Dell Ellisse Di Elasticita;Stabilini, Luigi;1945;Nicola Zanichelli Editore;
4288;COL.NB&520&Ch466e;The elements of astronomy for surveyors;Chapman, R.W.;1953;Charles Griffin;
4289;COL.NB&520&H826m;Manual of geodetic astronomy determination of longitude, latitude, and azimuth;Hoskinson, Albert J.;1952;Goverment Printing Office;
4290;COL.NB&523.7&C764;Solar Control & Shading Devices;Olgyay, Victor;1957;Princiton University;
4291;COL.NB&523.88&H623n;Star Names Their and Meaning;Hinckley Allen, Richard;1965;Dover Publication;
4292;COL.NB&526.7&As741;Special Surveys;Departament of the Arme;1953;s.n;
4293;COL.NB&530&W829p;Problemas de Mecánica General y Aplicada;Wittenbauer, F.;1946;Labor S.A. de C.V.;
4293;COL.NB&530&W829p;Problemas de Mecánica General y Aplicada;Wittenbauer, F.;1946;Labor S.A. de C.V.;
4293;COL.NB&530&W829p;Problemas de Mecánica General y Aplicada;Wittenbauer, F.;1946;Labor S.A. de C.V.;
4294;COL.NB&530.81&H939a;Dimensional analysis;Huntley, H.E.;1951;Macdonald & Co.;
4296;COL.NB&532.002 12&A225t;Tratado de hidráulica aplicada;Mantero, José María;1959;Gustavo Gili;
4297;COL.NB&532.002 12&H993;Hidraulic Tables;;1944;;
4298;COL.NB&536.502 87&S524;An Application of Thermometry to the Study of Ground Water;Shneider, Robert;1962;s.n;
4299;COL.NB&550&C994s;Soil Construction;Cytryn S.;1957;s.n;
4300;COL.NB&551&M613t;Texto de Geologia General;Meyer, Helmut;1953;s.n;
4301;COL.NB&550&D419s;Soil Survey Procedure;Soil Survey Procedure;1954;s.n;
4302;COL.NB&550&D461;Landslides of Rio de Janeiro and the Serra Das Araras Escarpment, Brazil;Jones, Fred O.;1973;s.n;
4304;COL.NB&551&P397a;Appunti Delle Lezioni di Geologia Tecnica;Penta, Francesco;1951;s.n;
4305;COL.NB&551.22&A196b;Bulletin of the Seismological Society of America;Housner, George W.;1963;Editorial Committee;
4306;COL.NB&551.22&C855e;Effects of the Earthquake of March 27, 1964 At Valdez, Alaska;Coulter, Henry W.;1964;Geological Survey Prossional;
4307;COL.NB&551.22&C748;Proceedings of the World Conference on Earthquake Engineering;Departament of Engineering;1956;s.n;
4308;COL.NB&551.22&H945e;Earthquakes;Hunter Heck, Nicholas;1965;Hafner publishing company;
4309;COL.NB&551.22&I62;Earthquake Investigations in the Western United States 1931-1964;Carder, Dean S.;1964;U.S. Department of Commerce;
4310;COL.NB&551.22&k11t;Effects of the Earthquake of March 27, 1964 at Whittier, Alaska;Kachadoorian, Reuben;1965;Geological Survey Professional;
4311;COL.NB&551.22&L848e;Effect of the Earthquake of March 27, 1964, on the Eklutna, nachorage, Alaska;Logan, Malcolm H.;1967;Geological Survey Professional;
4312;COL.NB&551.22&M494m;Managua, Nicaragua Earthquake;Meehan, John F.;1973;s.n;
4313;COL.NB&551.22&N757;The Night the Earth Shook;Witkind, Irving J.;1965;;
4314;COL.NB&551.22&A532;Analysis of Small Reinforced Concrete Buildings of Earthquake Forces.;Portlandd Cement Association;1955;s.n;
4315;COL.NB&551.22&P235;The Parkfield-Cholame California, Earthquake of June-August 1966-Surface Geologic Effects Water-Resources Aspects, and Preliminary Seismic Data;Brown, Robert D.;1967;Geological Survey Professional;
4316;COL.NB&551.22&S698;The Prince William Sound, Alaska, Earthquake of 1964 and Earthquake;Wood, Fergus J.;1967;s.n;
4320;COL.NB&551.460&R425;Saline Water Conversion Report for 1964;United states Department of the Interior;1964;s.n;
4321;COL.NB&551.48&H632;Hydraulic and Hydrologic Aspects of Flood-Plain Planning;Wittala, Sulo W.;1961;U.S. Department of The Interior;
4322;COL.NB&551.48&I61;General Introduction and Hydrologic Definitions;Langbien, Ww. B.;1960;s.n;
4323;COL.NB&551.48&L759h;Hydrology for Engineers;Linsley, Ray K.;1958;McGraw-Hill;
4324;COL.NB&551.48&M294;Graphical Correlation of Gaging-Station Records;Searcy, James K.;1960;s.n;
4325;COL.NB&551.48&S941g;Guidelines for Hydrology;Task force on Hydrology and hydraulics;1973;s.n;
4327;COL.NB&551.48&W81h;Hydrology;Wisley, John;1959;s.n;
